year,name,underwriter,listing_date,market,code,price_range,price_final,price_before1,price_before2,grade,grade_votes,reader_forecast,reader_forecast_n,stance_bars,hatsune_bars,hatsune,vote_status,detail_url
2011,モルフォ,野村,07/21(木),東M,3653,"2,050-2,250","2,250","2,500","3,180",B,7,"2,900",3,"0,100,0,0,0","0,0,100,0,0","4,840",締切,https://kabu.96ut.com/article/ipo/2011017/
2011,ラクオリア創薬,大和,07/20(水),JQG,4579,"1,550-1,600","1,600","1,500","1,500",C,4,"1,450",1,"0,0,0,0,100","0,0,0,100,0","1,480",締切,https://kabu.96ut.com/article/ipo/2011018/
2011,日本ドライケミカル,大和,06/29(水),東2,1909,"1,640-2,040","2,040","1,800","1,800",D,3,"1,850",1,"0,0,0,0,100","0,0,0,100,0","2,222",締切,https://kabu.96ut.com/article/ipo/2011015/
2011,ＳＥＭＩＴＥＣ,三菱,06/29(水),JQS,6626,"1,050-1,250","1,250","1,200","1,200",C,4,"1,050",1,"0,0,0,0,100","0,0,0,100,0","1,210",締切,https://kabu.96ut.com/article/ipo/2011016/
2011,イートアンド,みずほ,06/24(金),JQS,2882,"2,560-2,860","2,860","2,860","2,660",C,5,"2,540",2,"0,0,0,50,50","0,0,0,50,50","2,631",締切,https://kabu.96ut.com/article/ipo/2011014/
2011,ハウスコム,大和,06/23(木),JQS,3275,540-600,600,550,580,C,4,665,2,"0,0,50,0,50","0,0,50,50,0",580,締切,https://kabu.96ut.com/article/ipo/2011013/
2011,ディジタルメディアプロフェッショナル,野村,06/23(木),東M,3652,"2,100-2,400","2,400","3,600","3,100",A,8,"3,100",3,"0,100,0,0,0","0,33.3,66.7,0,0","3,050",締切,https://kabu.96ut.com/article/ipo/2011012/
2011,クロタニコーポレーション,野村,06/09(木),東2,3168,"1,100-1,200","1,200","1,500","1,300",B,6,"1,350",4,"0,0,50,50,0","0,0,25,75,0","1,170",締切,https://kabu.96ut.com/article/ipo/2011011/
2011,ＳＥＭＩＴＥＣ,三菱,04/13(水),JQS,6626,,未,未,-,,,"1,900",2,"0,50,0,50,0","0,50,0,50,0",-,締切,https://kabu.96ut.com/article/ipo/2011010/
2011,ＡｖａｎＳｔｒａｔｅ,大和/三菱/メリル,04/12(火),東M,5220,,未,未,-,,,540,2,"0,0,0,0,100","0,0,0,50,50",-,締切,https://kabu.96ut.com/article/ipo/2011009/
2011,ラクオリア創薬,大和,03/25(金),JQG,4579,"1,600-2,000",未,"2,350",-,C,5,"1,900",1,"0,0,0,0,100","0,0,0,100,0",-,締切,https://kabu.96ut.com/article/ipo/2011008/
2011,ピーエスシー,野村,03/23(水),JQS,3649,"800-1,000","1,000",900,900,C,4,917,3,"0,33.3,0,66.7,0","0,0,33.3,66.7,0","1,020",締切,https://kabu.96ut.com/article/ipo/2011007/
2011,アイ・アールジャパン,野村,03/18(金),JQS,6051,"1,600-1,800","1,800","2,150","1,800",B,6,"1,930",3,"0,33.3,0,66.7,0","0,0,0,100,0","1,890",締切,https://kabu.96ut.com/article/ipo/2011006/
2011,島根銀行,野村,03/15(火),東2,7150,540-560,560,550,500,C,4,534,4,"0,0,0,50,50","0,0,0,100,0",685,締切,https://kabu.96ut.com/article/ipo/2011004/
2011,アイディホーム,三菱,03/15(火),JQS,3274,"2,700-2,850","2,850","3,150","2,700",B,6,"3,233",5,"0,20,60,20,0","0,0,20,80,0","1,800",締切,https://kabu.96ut.com/article/ipo/2011005/
2011,カルビー,大和,03/11(金),東1,2229,"2,040-2,100","2,100","2,200","2,300",B,6,"2,204",5,"0,40,40,20,0","0,0,0,100,0","2,100",締切,https://kabu.96ut.com/article/ipo/2011003/
2011,ＡＧＳ,みずほ,03/11(金),東2,3648,800-950,950,"1,050","1,000",C,5,"1,126",5,"0,0,25,75,0","0,0,40,60,0",890,締切,https://kabu.96ut.com/article/ipo/2011002/
2011,駅探,みずほ,03/03(木),東M,3646,"2,480-2,780","2,780","5,500","5,500",A,9,"5,273",8,"28.6,71.4,0,0,0","50,37.5,12.5,0,0","5,530",締切,https://kabu.96ut.com/article/ipo/2011001/
2012,地盤ネット,野村,12/21(金),東M,6072,700-720,720,"1,080","1,150",B,6,"1,079",11,"9.1,27.3,54.5,9.1,0","18.2,27.3,27.3,27.2,0","1,412",締切,https://kabu.96ut.com/article/ipo/2012051/
2012,グランディーズ,JTG,12/21(金),福Q,3261,340-360,360,440,480,C,5,420,10,"0,0,40,30,30","0,0,50,50,0",368,締切,https://kabu.96ut.com/article/ipo/2012050/
2012,ＧＬＰ投資法人,野村,12/21(金),東R,3281,59k-60k,"60,500","69,000","65,000",C,5,"66,905",19,"11.1,11.1,50,16.7,11.1","0,5.3,5.3,89.4,0","62,500",締切,https://kabu.96ut.com/article/ipo/2012049/
2012,ユーグレナ,日興,12/20(木),東M,2931,"1,580-1,700","1,700","2,850","3,150",A,9,"3,159",15,"40,40,13.3,6.7,0","46.7,33.3,13.3,6.7,0","3,900",締切,https://kabu.96ut.com/article/ipo/2012053/
2012,パンチ工業,大和,12/20(木),東2,6165,510-560,560,550,550,C,4,547,9,"0,0,0,33.3,66.7","0,0,0,100,0",530,締切,https://kabu.96ut.com/article/ipo/2012052/
2012,シュッピン,野村,12/20(木),東M,3179,310-330,330,570,600,A,8,640,14,"14.3,50,28.6,7.1,0","42.9,50,0,7.1,0",550,締切,https://kabu.96ut.com/article/ipo/2012048/
2012,モバイルクリエイト,野村,12/19(水),東M,3669,"2,700-3,000","3,000","6,000","6,000",A,9,"6,226",9,"66.7,33.3,0,0,0","88.9,11.1,0,0,0","7,000",締切,https://kabu.96ut.com/article/ipo/2012047/
2012,全国保証,大和,12/19(水),東1,7164,930-980,980,"1,140","1,200",B,6,"1,158",12,"8.3,8.3,50,33.3,0","0,0,50,50,0","1,016",締切,https://kabu.96ut.com/article/ipo/2012046/
2012,チムニー,野村,12/14(金),東2,3178,"1,000-1,050","1,000","1,100","1,050",C,5,"1,101",13,"0,0,30.8,46.2,23","0,0,7.7,92.3,0",945,締切,https://kabu.96ut.com/article/ipo/2012045/
2012,コロプラ,大和,12/13(木),東M,3668,"2,700-3,000","3,000","5,600","5,800",A,9,"5,452",16,"37.5,50,6.3,0,6.2","37.5,43.8,12.5,6.2,0","5,650",締切,https://kabu.96ut.com/article/ipo/2012044/
2012,アジュバンコスメジャパン,野村,12/13(木),東2,4929,"1,250-1,350","1,250","1,480","1,350",C,5,"1,496",12,"0,16.7,16.7,50,16.6","0,0,25,75,0","1,310",締切,https://kabu.96ut.com/article/ipo/2012043/
2012,ｅｎｉｓｈ,大和,12/11(火),東M,3667,760-800,800,"2,200","2,200",S,10,"2,236",17,"75,18.8,0,6.2,0","88.2,5.9,0,5.9,0","2,500",締切,https://kabu.96ut.com/article/ipo/2012042/
2012,ＵＭＮファーマ,野村,12/11(火),東M,4585,"1,300-1,600","1,300","1,150","1,250",D,2,"1,167",12,"0,0,9.1,9.1,81.8","0,0,0,33.3,66.7","1,196",締切,https://kabu.96ut.com/article/ipo/2012041/
2012,テクノスジャパン,大和,12/07(金),JQS,3666,"1,380-1,540","1,540","1,960","1,960",B,6,"2,127",16,"6.3,25,43.8,24.9,0","6.3,18.8,43.8,25,6.1","1,878",締切,https://kabu.96ut.com/article/ipo/2012040/
2012,ＩＢＪ,SMBC,12/06(木),JQS,6071,"1,250-1,450","1,450","2,080","2,560",B,7,"2,418",12,"9.1,45.5,45.4,0,0","25,41.7,33.3,0,0","2,610",締切,https://kabu.96ut.com/article/ipo/2012039/
2012,ジーンテクノサイエンス,野村,11/30(金),東M,4584,"1,200-1,500","1,200","1,300","1,300",D,3,"1,153",9,"0,0,0,0,100","0,0,0,40,60","1,550",締切,https://kabu.96ut.com/article/ipo/2012038/
2012,大和ハウスリート投資法人,野村/三菱,11/28(水),東R,3263,480k-500k,"500,000","500,000","500,000",C,5,"501,684",19,"0,0,33.3,44.4,22.2","0,0,0,100,0","504,000",締切,https://kabu.96ut.com/article/ipo/2012037/
2012,エストラスト,SBI,11/21(水),東M,3280,"1,250-1,350","1,350","1,550","1,550",B,6,"1,535",13,"7.7,30.8,30.8,15.4,15.3","0,7.7,23.1,69.2,0","2,513",締切,https://kabu.96ut.com/article/ipo/2012036/
2012,キャリアリンク,野村,11/15(木),東M,6070,400-440,420,580,630,B,6,562,11,"9.1,18.2,54.5,18.2,0","0,9.1,63.6,27.3,0",846,締切,https://kabu.96ut.com/article/ipo/2012035/
2012,ありがとうサービス,野村,11/12(月),JQS,3177,"1,170-1,340","1,170","1,560","1,450",B,6,"1,539",11,"10,10,50,10,20","0,0,27.3,72.7,0","1,302",締切,https://kabu.96ut.com/article/ipo/2012034/
2012,三洋貿易,三菱,10/23(火),東2,3176,420-460,460,470,470,C,4,461,8,"0,0,12.5,50,37.5","0,0,0,100,0",444,締切,https://kabu.96ut.com/article/ipo/2012032/
2012,阿波製紙,大和,10/23(火),東2,3896,330-370,370,430,450,C,5,370,7,"0,0,0,71.4,28.6","0,0,0,100,0",371,締切,https://kabu.96ut.com/article/ipo/2012033/
2012,トレンダーズ,大和,10/19(金),東M,6069,"2,300-2,550","2,550","4,300","4,300",A,8,"4,093",17,"41.2,23.5,17.6,11.8,5.9","5.9,52.9,17.6,11.8,11.8","6,500",締切,https://kabu.96ut.com/article/ipo/2012031/
2012,ツバキ・ナカシマ,野村,10/11(木),東未,6464,"1,500-1,650","1,550",未,-,,,"1,413",5,"0,0,0,60,40","0,0,0,60,40",-,締切,https://kabu.96ut.com/article/ipo/2012030/
2012,日本コンセプト,野村,10/04(木),JQS,9386,"1,020-1,140","1,020","1,200","1,100",C,5,"1,190",11,"0,0,27.3,45.5,27.2","0,0,0,100,0",938,締切,https://kabu.96ut.com/article/ipo/2012029/
2012,メディアフラッグ,SBI,09/28(金),東M,6067,800-900,900,"1,560","1,800",A,8,"1,722",14,"28.6,50,14.3,7.1,0","35.7,42.9,14.3,7.1,0","2,120",締切,https://kabu.96ut.com/article/ipo/2012028/
2012,エー・ピーカンパニー,野村,09/25(火),東M,3175,"2,150-2,350","2,350","2,800","2,900",B,7,"3,418",14,"23.1,38.5,38.4,0,0","7.1,35.7,21.4,35.7,0","3,305",締切,https://kabu.96ut.com/article/ipo/2012027/
2012,日本航空（JAL),大和/野村/みずほ/三菱/日興,09/19(水),東1,9201,"3,500-3,790","3,790","3,790","3,990",C,5,"3,833",16,"0,6.3,12.5,62.5,18.7","0,0,0,100,0","3,810",締切,https://kabu.96ut.com/article/ipo/2012026/
2012,サクセスホールディングス,野村,08/07(火),JQS,6065,"1,950-2,050","2,050","2,180","2,460",B,6,"2,580",12,"16.7,33.3,41.7,8.3,0","8.3,16.7,41.7,33.3,0","2,500",締切,https://kabu.96ut.com/article/ipo/2012025/
2012,エニグモ,大和,07/24(火),東M,3665,"1,550-1,750","1,750","2,550","2,550",B,7,"3,284",15,"46.7,40,13.3,0,0","40,20,40,0,0","4,030",締切,https://kabu.96ut.com/article/ipo/2012024/
2012,ワイヤレスゲート,日興,07/19(木),東M,9419,"1,150-1,200","1,200","1,750","1,890",A,8,"1,962",9,"33.3,55.6,11.1,0,0","11.1,77.8,0,11.1,0","2,311",締切,https://kabu.96ut.com/article/ipo/2012023/
2012,アクトコール,SBI,07/13(金),東M,6064,"1,600-1,700","1,700","2,100","2,200",B,6,"1,830",10,"0,10,30,50,10","0,0,40,60,0","2,500",締切,https://kabu.96ut.com/article/ipo/2012022/
2012,モブキャスト,三菱,06/26(火),東M,3664,640-800,800,"1,850","1,850",A,9,"1,651",8,"37.5,62.5,0,0,0","50,50,0,0,0","2,301",締切,https://kabu.96ut.com/article/ipo/2012021/
2012,ハピネス・アンド・ディ,インベ,06/22(金),JQS,3174,"1,750-1,900","1,900","2,400","2,300",B,6,"2,228",13,"0,30.8,46.2,15.4,7.6","0,0,46.2,53.8,0","2,202",締切,https://kabu.96ut.com/article/ipo/2012019/
2012,大泉製作所,SBI,06/22(金),東M,6618,290-350,350,350,350,C,5,350,10,"0,0,0,70,30","0,0,0,100,0",400,締切,https://kabu.96ut.com/article/ipo/2012020/
2012,日本エマージェンシーアシスタンス,野村,06/20(水),JQS,6063,"1,100-1,200","1,100","1,450","1,200",B,6,"1,260",10,"0,11.1,33.3,44.4,11.1","0,0,10,90,0","1,400",締切,https://kabu.96ut.com/article/ipo/2012018/
2012,アクティビア・プロパティーズ投資法人,野村,06/13(水),東R,3279,460k-500k,"460,000","460,000","452,000",D,3,"464,005",10,"0,0,10,30,60","0,0,0,100,0","445,000",締切,https://kabu.96ut.com/article/ipo/2012017/
2012,北の達人コーポレーション,日本ア,05/29(火),札ア,2930,"950-1,150","1,100",930,930,D,2,921,9,"0,0,0,22.2,77.8","0,0,0,30,70",935,締切,https://kabu.96ut.com/article/ipo/2012016/
2012,チャーム･ケア･コーポレーション,大和,04/27(金),JQS,6062,900-950,950,"1,190","1,190",B,6,"1,067",9,"0,11.1,33.3,22.2,33.3","0,11.1,22.2,66.7,0","1,000",締切,https://kabu.96ut.com/article/ipo/2012014/
2012,ユニバーサル園芸社,大和,04/26(木),JQS,6061,"1,250-1,310","1,310","1,300","1,250",C,4,"1,259",7,"0,0,0,42.9,57.1","0,0,0,100,0","1,455",締切,https://kabu.96ut.com/article/ipo/2012013/
